11/05/15,143,108,175
11/06/15,155,138,171
11/07/15,171,140,188
11/08/15,149,97,184
11/09/15,142,122,173
11/10/15,127,121,137
11/11/15,116,106,125
11/12/15,128,108,153
11/13/15,112,68,134
11/14/15,85,63,101
11/15/15,131,101,151
11/16/15,117,109,126
11/17/15,140,118,156
11/18/15,129,112,142
11/19/15,105,74,130
11/20/15,74,47,96
11/21/15,32,17,50
11/22/15,20,1,49
11/23/15,16,-10,55
11/24/15,21,6,33
11/25/15,52,33,75
11/26/15,35,5,81
11/27/15,35,1,72
11/28/15,57,34,73
11/29/15,94,62,110
11/30/15,96,76,113
12/01/15,106,86,122
12/02/15,97,74,115
12/03/15,85,68,115
12/04/15,79,53,99
12/05/15,65,49,79
12/06/15,94,53,118
12/07/15,112,96,140
12/08/15,106,83,132
12/09/15,66,46,96
12/10/15,44,28,74
12/11/15,62,36,88
12/12/15,82,58,100
12/13/15,76,61,99
12/14/15,71,41,98
12/15/15,87,59,112
12/16/15,113,93,127
12/17/15,139,117,163
12/18/15,117,105,139
12/19/15,123,104,149
12/20/15,119,103,128
12/21/15,104,90,115
12/22/15,117,103,131
12/23/15,99,71,122
12/24/15,108,68,143
12/25/15,99,72,129
12/26/15,117,94,141
12/27/15,102,75,135
12/28/15,90,38,133
12/29/15,81,50,104
12/30/15,71,41,101
12/31/15,78,57,102
01/01/16,60,36,87
01/02/16,74,48,95
01/03/16,66,44,88
01/04/16,63,39,76
01/05/16,67,43,80
01/06/16,64,48,78
01/07/16,60,41,81
01/08/16,43,24,79
01/09/16,58,24,81
01/10/16,68,41,91
01/11/16,55,32,78
01/12/16,56,44,75
01/13/16,43,16,56
01/14/16,29,13,49
01/15/16,17,6,22
01/16/16,18,-1,50
01/17/16,-12,-43,9
01/18/16,-36,-54,-4
01/19/16,-38,-80,4
01/20/16,-5,-28,10
01/21/16,4,-23,43
01/22/16,17,-22,45
01/23/16,59,40,78
01/24/16,68,36,85
01/25/16,108,73,162
01/26/16,96,86,108
01/27/16,100,85,110
01/28/16,57,15,97
01/29/16,68,20,91
01/30/16,62,25,89
01/31/16,70,34,116
02/01/16,108,99,116
02/02/16,80,50,109
02/03/16,45,30,69
02/04/16,47,23,79
02/05/16,82,22,101
02/06/16,95,74,111
02/07/16,83,60,112
02/08/16,82,66,101
02/09/16,55,22,107
02/10/16,37,24,51
02/11/16,42,21,69
02/12/16,28,-24,57
02/13/16,14,-26,42
02/14/16,18,1,29
02/15/16,9,-29,44
02/16/16,-8,-44,34
02/17/16,0,-59,43
02/18/16,22,-6,55
02/19/16,33,2,77
02/20/16,79,45,109
02/21/16,107,98,120
02/22/16,71,29,106
02/23/16,32,2,80
02/24/16,23,-15,64
02/25/16,8,-34,60
02/26/16,23,-11,53
02/27/16,26,-3,72
02/28/16,17,-19,56
02/29/16,15,-26,68
03/01/16,14,-49,59
03/02/16,56,26,95
03/03/16,31,10,70
03/04/16,31,-4,51
03/05/16,22,-4,47
03/06/16,21,-4,53
03/07/16,18,-25,49
03/08/16,18,-32,55
03/09/16,42,6,84
03/10/16,38,-25,95
03/11/16,42,-12,98
03/12/16,27,-27,86
03/13/16,36,-17,97
03/14/16,29,-15,83
03/15/16,32,-20,78
03/16/16,42,2,88
03/17/16,46,-12,106
03/18/16,23,-14,47
03/19/16,48,37,61
03/20/16,60,41,88
03/21/16,69,50,97
03/22/16,70,29,113
03/23/16,72,53,104
03/24/16,75,59,93
03/25/16,67,29,96
03/26/16,95,12,154
03/27/16,100,68,136
03/28/16,94,49,133
03/29/16,82,53,111
03/30/16,92,61,122
03/31/16,63,51,77
04/01/16,79,21,125
04/02/16,112,73,143
04/03/16,159,119,203
04/04/16,132,106,168
04/05/16,103,62,136
04/06/16,91,60,136
04/07/16,69,39,119
04/08/16,73,38,112
04/09/16,95,18,155
04/10/16,111,62,173
04/11/16,140,65,211
04/12/16,109,61,181
04/13/16,89,45,125
04/14/16,106,37,170
04/15/16,117,91,166
04/16/16,91,43,140
04/17/16,60,18,103
04/18/16,76,2,130
04/19/16,90,28,145
04/20/16,83,18,143
04/21/16,117,20,194
04/22/16,105,75,148
04/23/16,57,8,95
04/24/16,37,0,76
04/25/16,40,3,74
04/26/16,30,10,58
04/27/16,42,8,77
04/28/16,51,0,113
04/29/16,70,36,112
04/30/16,67,47,92
05/01/16,83,44,132
05/02/16,116,22,185
05/03/16,104,46,147
05/04/16,97,18,150
05/05/16,134,55,196
05/06/16,177,86,244
05/07/16,203,134,255
05/08/16,201,146,247
05/09/16,197,140,247
05/10/16,172,146,200
05/11/16,193,129,244
05/12/16,179,133,235
05/13/16,169,99,226
05/14/16,88,54,130
05/15/16,85,51,129
05/16/16,94,63,129
05/17/16,129,74,181
05/18/16,140,100,191
05/19/16,132,86,189
05/20/16,138,94,177
05/21/16,189,132,241
05/22/16,165,135,200
05/23/16,110,96,140
05/24/16,110,88,136
05/25/16,119,78,168
05/26/16,163,83,219
05/27/16,168,122,228
05/28/16,171,109,235
05/29/16,163,130,186
05/30/16,157,149,166
05/31/16,164,144,204
06/01/16,153,131,162
06/02/16,176,142,236
06/03/16,161,134,210
06/04/16,158,134,191
06/05/16,189,149,264
06/06/16,199,144,261
06/07/16,193,148,266
06/08/16,182,127,237
06/09/16,160,114,213
06/10/16,164,93,217
06/11/16,172,139,225
06/12/16,162,145,221
06/13/16,152,136,198
06/14/16,153,127,207
06/15/16,137,103,186
06/16/16,137,89,190
06/17/16,145,121,189
06/18/16,137,118,179
06/19/16,144,111,193
06/20/16,156,119,198
06/21/16,176,144,212
06/22/16,209,155,253
06/23/16,251,169,322
06/24/16,204,170,242
06/25/16,152,112,176
06/26/16,146,104,191
06/27/16,149,120,194
06/28/16,174,131,215
06/29/16,168,134,208
06/30/16,172,146,203
07/01/16,181,147,215
07/02/16,145,116,178
07/03/16,153,116,194
07/04/16,175,119,225
07/05/16,164,99,210
07/06/16,157,95,209
07/07/16,177,108,227
07/08/16,202,156,244
07/09/16,203,165,250
07/10/16,236,184,298
07/11/16,195,165,236
07/12/16,161,121,215
07/13/16,133,99,189
07/14/16,142,89,191
07/15/16,158,87,212
07/16/16,186,149,240
07/17/16,205,163,250
07/18/16,222,148,289
07/19/16,246,160,308
07/20/16,266,209,339
07/21/16,234,195,279
07/22/16,218,181,266
07/23/16,208,181,258
07/24/16,212,172,265
07/25/16,205,156,252
07/26/16,192,156,231
07/27/16,185,131,229
07/28/16,193,155,238
07/29/16,189,150,239
07/30/16,183,147,235
07/31/16,166,109,211
08/01/16,169,105,228
08/02/16,160,133,179
08/03/16,181,171,194
08/04/16,170,139,202
08/05/16,164,122,218
08/06/16,170,119,224
08/07/16,199,116,249
08/08/16,171,135,216
08/09/16,139,100,195
08/10/16,123,80,164
08/11/16,127,73,170
08/12/16,180,144,227
08/13/16,186,138,238
08/14/16,182,130,231
08/15/16,176,134,227
08/16/16,174,109,239
08/17/16,187,119,256
08/18/16,184,104,250
08/19/16,191,128,247
08/20/16,185,142,235
08/21/16,158,133,196
08/22/16,179,136,237
08/23/16,222,153,287
08/24/16,246,152,321
08/25/16,256,173,333
08/26/16,248,195,310
08/27/16,244,174,323
08/28/16,217,152,271
08/29/16,177,142,209
08/30/16,173,110,238
08/31/16,189,119,257
09/01/16,176,127,229
09/02/16,182,126,233
09/03/16,189,132,245
09/04/16,178,150,215
09/05/16,176,140,225
09/06/16,191,119,260
09/07/16,202,130,266
09/08/16,208,138,276
09/09/16,171,124,234
09/10/16,187,109,261
09/11/16,202,154,258
09/12/16,229,150,295
09/13/16,255,190,327
09/14/16,246,175,322
09/15/16,211,145,285
09/16/16,176,143,224
09/17/16,172,125,221
09/18/16,158,134,180
09/19/16,154,126,198
09/20/16,148,97,188
09/21/16,162,115,211
09/22/16,153,88,216
09/23/16,157,116,222
09/24/16,172,100,246
09/25/16,180,123,266
09/26/16,133,81,194
09/27/16,147,72,225
09/28/16,177,131,225
09/29/16,172,136,218
09/30/16,146,118,183
10/01/16,137,95,192
10/02/16,114,94,154
10/03/16,129,97,178
10/04/16,116,83,156
10/05/16,91,42,146
10/06/16,80,21,117
10/07/16,111,94,146
10/08/16,100,47,145
10/09/16,78,32,135
10/10/16,77,27,131
10/11/16,69,15,126
10/12/16,81,52,94
10/13/16,83,29,129
10/14/16,98,72,122
10/15/16,114,86,159
10/16/16,149,84,208
10/17/16,123,94,158
10/18/16,105,74,146
10/19/16,85,71,113
10/20/16,87,67,113
10/21/16,71,55,91
10/22/16,73,21,110
10/23/16,42,-14,82
10/24/16,92,65,114
10/25/16,93,84,103
10/26/16,82,57,125
10/27/16,105,71,137
10/28/16,121,111,131
10/29/16,113,66,158
10/30/16,97,51,153
10/31/16,97,41,157
11/01/16,98,52,149
